EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsBeforeCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateGroups,HourlyRateGroups,MonthlyIncomeGroups,MonthlyRateGroups,TotalWorkingYearsGroups,YearsAtCompanyGroups,AgeGroups,YearsBeforeCompanyGroups
1141,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,1,14,1,Male,84,4,Entry Level,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,1,4,0,3,H - 800 => 900,H - 80 => 90,B - 2000 => 3000,P - 16000 => 17000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1142,29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,1,15,4,Female,49,2,Junior,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,1,5,0,8,A - 100 => 200,D - 40 => 50,D - 4000 => 5000,L - 12000 => 13000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
1143,31,No,Travel_Rarely,670,Research & Development,26,Below College ,Life Sciences,1,16,1,Male,31,3,Entry Level,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,0,2,4,3,F - 600 => 700,C - 30 => 40,B - 2000 => 3000,O - 15000 => 16000,C - 4 => 5 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1144,34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,1,18,2,Male,93,3,Entry Level,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,1,2,1,2,M - 1300 => 1400,I - 90 => 100,B - 2000 => 3000,H - 8000 => 9000,B - 2 => 3 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
1145,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,19,3,Male,50,2,Entry Level,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,2,0,3,A - 100 => 200,D - 40 => 50,B - 2000 => 3000,L - 12000 => 13000,D - 6 => 10 Years,C - 4 => 5 Years,C - 26 => 30 Years,B - 2 => 3 Years
1146,29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,1,20,2,Female,51,4,Mid-Level,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,0,9,8,8,M - 1300 => 1400,E - 50 => 60,I - 9000 => 10000,J - 10000 => 11000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
1147,32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,1,21,1,Male,80,4,Entry Level,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,1,2,0,5,C - 300 => 400,G - 70 => 80,C - 3000 => 4000,O - 15000 => 16000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1148,22,No,Non-Travel,1123,Research & Development,16,College,Medical,1,22,4,Male,96,4,Entry Level,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,0,K - 1100 => 1200,I - 90 => 100,B - 2000 => 3000,G - 7000 => 8000,A - 0 => 1 Year,A - 0 => 1 Year,B - 22 => 25 Years,B - 2 => 3 Years
1149,53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,1,23,1,Female,78,2,Senior,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,6,8,3,7,L - 1200 => 1300,G - 70 => 80,O - 15000 => 16000,V - 22000 => 23000,I - 31 => 35 Years,G - 21 => 25 Years,F - 51 => 60 Years,B - 2 => 3 Years
1150,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,1,24,4,Male,45,3,Entry Level,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,3,2,1,2,C - 300 => 400,D - 40 => 50,C - 3000 => 4000,D - 4000 => 5000,D - 6 => 10 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
1151,24,No,Non-Travel,673,Research & Development,11,College,Other,1,26,1,Female,96,4,Junior,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,1,2,1,3,F - 600 => 700,I - 90 => 100,D - 4000 => 5000,H - 8000 => 9000,C - 4 => 5 Years,C - 4 => 5 Years,B - 22 => 25 Years,B - 2 => 3 Years
1152,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,27,3,Male,82,2,Entry Level,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,5,3,0,3,L - 1200 => 1300,H - 80 => 90,C - 3000 => 4000,F - 6000 => 7000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1153,34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,1,28,1,Female,53,3,Mid-Level,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,1,6,2,11,D - 400 => 500,E - 50 => 60,K - 11000 => 12000,U - 21000 => 22000,E - 11 => 15 Years,E - 11 => 15 Years,D - 31 => 40 Years,B - 2 => 3 Years
1154,21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,30,3,Male,96,3,Entry Level,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0,C - 300 => 400,I - 90 => 100,A - 1000 => 2000,S - 19000 => 20000,A - 0 => 1 Year,A - 0 => 1 Year,A - 18 => 21 Years,B - 2 => 3 Years
1155,34,Yes,Travel_Rarely,699,Research & Development,6,Below College ,Medical,1,31,2,Male,83,3,Entry Level,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,4,2,1,3,F - 600 => 700,H - 80 => 90,B - 2000 => 3000,Q - 17000 => 18000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1156,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,1,32,3,Female,58,3,Expert,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,12,13,4,8,L - 1200 => 1300,E - 50 => 60,S - 19000 => 20000,J - 10000 => 11000,H - 25 => 30 Years,E - 11 => 15 Years,F - 51 => 60 Years,B - 2 => 3 Years
1157,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College ,Life Sciences,1,33,2,Female,72,1,Entry Level,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,0,2,6,7,K - 1100 => 1200,G - 70 => 80,C - 3000 => 4000,D - 4000 => 5000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1158,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,1,35,3,Male,48,3,Junior,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,1,7,4,2,F - 600 => 700,D - 40 => 50,F - 6000 => 7000,U - 21000 => 22000,D - 6 => 10 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
1159,44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,1,36,1,Female,42,2,Mid-Level,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,2,6,5,17,D - 400 => 500,D - 40 => 50,J - 10000 => 11000,B - 2000 => 3000,G - 21 => 25 Years,G - 21 => 25 Years,E - 41 => 50 Years,B - 2 => 3 Years
1160,46,No,Travel_Rarely,705,Sales,2,Master,Marketing,1,38,2,Female,83,3,Expert,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,20,2,2,1,G - 700 => 800,H - 80 => 90,R - 18000 => 19000,V - 22000 => 23000,G - 21 => 25 Years,B - 2 => 3 Years,E - 41 => 50 Years,B - 2 => 3 Years
1161,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,1,39,3,Male,78,3,Entry Level,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,6,1,0,0,I - 900 => 1000,G - 70 => 80,B - 2000 => 3000,F - 6000 => 7000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1162,44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,1,40,4,Male,41,3,Junior,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,5,2,1,3,N - 1400 => 1500,D - 40 => 50,F - 6000 => 7000,S - 19000 => 20000,D - 6 => 10 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
1163,30,No,Travel_Rarely,125,Research & Development,9,College,Medical,1,41,4,Male,83,2,Entry Level,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,0,1,8,A - 100 => 200,H - 80 => 90,B - 2000 => 3000,P - 16000 => 17000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
1164,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,1,42,4,Male,56,3,Junior,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,18,0,0,0,H - 800 => 900,E - 50 => 60,B - 2000 => 3000,C - 3000 => 4000,F - 16 => 20 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1165,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,45,2,Male,61,3,Entry Level,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,4,0,2,0,H - 800 => 900,F - 60 => 70,B - 2000 => 3000,C - 3000 => 4000,D - 6 => 10 Years,B - 2 => 3 Years,B - 22 => 25 Years,B - 2 => 3 Years
1166,43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,1,46,4,Female,72,4,Entry Level,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,1,3,1,4,L - 1200 => 1300,G - 70 => 80,B - 2000 => 3000,U - 21000 => 22000,D - 6 => 10 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
1167,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,1,47,1,Male,86,2,Entry Level,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,0,2,0,2,H - 800 => 900,H - 80 => 90,B - 2000 => 3000,C - 3000 => 4000,B - 2 => 3 Years,B - 2 => 3 Years,E - 41 => 50 Years,B - 2 => 3 Years
1168,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,1,49,4,Female,97,3,Entry Level,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,0,2,2,2,H - 800 => 900,I - 90 => 100,B - 2000 => 3000,I - 9000 => 10000,B - 2 => 3 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
1169,36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,1,51,2,Female,82,2,Entry Level,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,5,1,0,0,H - 800 => 900,H - 80 => 90,C - 3000 => 4000,M - 13000 => 14000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1170,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,52,3,Female,42,4,Junior,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,5,3,1,3,K - 1100 => 1200,D - 40 => 50,E - 5000 => 6000,C - 3000 => 4000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1171,35,No,Travel_Rarely,464,Research & Development,4,College,Other,1,53,3,Male,75,3,Entry Level,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,0,D - 400 => 500,G - 70 => 80,A - 1000 => 2000,J - 10000 => 11000,A - 0 => 1 Year,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1172,27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,1,54,4,Female,33,3,Entry Level,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,0,L - 1200 => 1300,C - 30 => 40,B - 2000 => 3000,S - 19000 => 20000,A - 0 => 1 Year,A - 0 => 1 Year,C - 26 => 30 Years,B - 2 => 3 Years
1173,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,1,55,1,Male,48,1,Entry Level,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,0,1,M - 1300 => 1400,D - 40 => 50,B - 2000 => 3000,J - 10000 => 11000,A - 0 => 1 Year,A - 0 => 1 Year,C - 26 => 30 Years,B - 2 => 3 Years
1174,27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,1,56,4,Male,37,3,Mid-Level,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,0,8,1,7,I - 900 => 1000,C - 30 => 40,H - 8000 => 9000,B - 2000 => 3000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
1175,30,No,Travel_Frequently,721,Research & Development,1,College,Medical,1,57,3,Female,58,3,Junior,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,0,8,3,7,G - 700 => 800,E - 50 => 60,D - 4000 => 5000,J - 10000 => 11000,E - 11 => 15 Years,E - 11 => 15 Years,C - 26 => 30 Years,B - 2 => 3 Years
1176,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,1,58,2,Female,49,3,Expert,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,1,15,15,8,M - 1300 => 1400,D - 40 => 50,S - 19000 => 20000,P - 16000 => 17000,G - 21 => 25 Years,G - 21 => 25 Years,E - 41 => 50 Years,B - 2 => 3 Years
1177,34,No,Non-Travel,1065,Sales,23,Master,Marketing,1,60,2,Male,72,3,Junior,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,1,5,8,7,J - 1000 => 1100,G - 70 => 80,D - 4000 => 5000,J - 10000 => 11000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1178,37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,1,61,2,Male,73,3,Entry Level,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,7,0,0,0,D - 400 => 500,G - 70 => 80,C - 3000 => 4000,J - 10000 => 11000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1179,46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,1,62,1,Male,98,3,Junior,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,5,6,0,8,L - 1200 => 1300,I - 90 => 100,E - 5000 => 6000,T - 20000 => 21000,E - 11 => 15 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
1180,35,No,Travel_Rarely,1229,Research & Development,8,Below College ,Life Sciences,1,63,4,Male,36,4,Entry Level,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,0,1,L - 1200 => 1300,C - 30 => 40,B - 2000 => 3000,D - 4000 => 5000,A - 0 => 1 Year,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1181,48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,1,64,1,Male,98,2,Mid-Level,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,22,0,0,0,F - 600 => 700,I - 90 => 100,E - 5000 => 6000,S - 19000 => 20000,G - 21 => 25 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
1182,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,65,3,Male,50,3,Entry Level,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,0,2,2,2,N - 1400 => 1500,D - 40 => 50,C - 3000 => 4000,K - 11000 => 12000,B - 2 => 3 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
1183,44,No,Travel_Rarely,1488,Sales,1,PHD,Marketing,1,68,2,Female,75,3,Junior,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,5,3,1,3,N - 1400 => 1500,G - 70 => 80,E - 5000 => 6000,D - 4000 => 5000,D - 6 => 10 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
1184,35,No,Non-Travel,1097,Research & Development,11,College,Medical,1,70,3,Male,79,2,Mid-Level,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,6,0,2,3,J - 1000 => 1100,G - 70 => 80,I - 9000 => 10000,H - 8000 => 9000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
1185,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,72,3,Female,47,2,Junior,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,3,2,0,0,N - 1400 => 1500,D - 40 => 50,D - 4000 => 5000,U - 21000 => 22000,C - 4 => 5 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
1186,33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,1,73,1,Female,98,3,Mid-Level,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,0,14,8,12,E - 500 => 600,I - 90 => 100,M - 13000 => 14000,O - 15000 => 16000,E - 11 => 15 Years,E - 11 => 15 Years,D - 31 => 40 Years,B - 2 => 3 Years
1187,35,No,Travel_Frequently,853,Sales,18,PHD,Life Sciences,1,74,2,Male,71,3,Mid-Level,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,0,8,1,8,H - 800 => 900,G - 70 => 80,I - 9000 => 10000,K - 11000 => 12000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1188,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,1,75,3,Female,30,3,Entry Level,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,2,K - 1100 => 1200,B - 20 => 30,D - 4000 => 5000,P - 16000 => 17000,C - 4 => 5 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
1189,31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,1,76,4,Male,48,3,Junior,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,3,7,1,7,F - 600 => 700,D - 40 => 50,E - 5000 => 6000,I - 9000 => 10000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1190,37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,1,77,1,Male,51,2,Junior,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,0,5,0,7,K - 1100 => 1200,E - 50 => 60,E - 5000 => 6000,B - 2000 => 3000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1191,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,1,78,1,Male,33,3,Junior,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,0,8,7,8,D - 400 => 500,C - 30 => 40,F - 6000 => 7000,J - 10000 => 11000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1192,38,No,Travel_Frequently,653,Research & Development,29,PHD,Life Sciences,1,79,4,Female,50,3,Junior,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,0,3,9,9,F - 600 => 700,D - 40 => 50,B - 2000 => 3000,E - 5000 => 6000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1193,50,No,Travel_Rarely,989,Research & Development,7,College,Medical,1,80,2,Female,43,2,Expert,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,2,3,13,8,I - 900 => 1000,D - 40 => 50,R - 18000 => 19000,P - 16000 => 17000,H - 25 => 30 Years,H - 25 => 30 Years,E - 41 => 50 Years,B - 2 => 3 Years
1194,59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,1,81,1,Female,99,3,Mid-Level,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,7,16,7,9,N - 1400 => 1500,I - 90 => 100,G - 7000 => 8000,B - 2000 => 3000,H - 25 => 30 Years,G - 21 => 25 Years,F - 51 => 60 Years,B - 2 => 3 Years
1195,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,1,83,3,Female,59,3,Mid-Level,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,0,14,12,8,L - 1200 => 1300,E - 50 => 60,J - 10000 => 11000,H - 8000 => 9000,F - 16 => 20 Years,F - 16 => 20 Years,D - 31 => 40 Years,B - 2 => 3 Years
1196,55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,1,84,4,Female,33,3,Senior,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,16,0,0,2,H - 800 => 900,C - 30 => 40,N - 14000 => 15000,S - 19000 => 20000,G - 21 => 25 Years,C - 4 => 5 Years,F - 51 => 60 Years,B - 2 => 3 Years
1197,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,1,85,2,Male,95,2,Junior,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,0,5,0,3,K - 1100 => 1200,I - 90 => 100,F - 6000 => 7000,V - 22000 => 23000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
